Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
62,Hugo Álvarez\6f392eb8,es ESP,FW,Celta Vigo,es La Liga,36-160,1985,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,0,0,2,0,Matches
63,Yeray Álvarez\3ecc11d8,es ESP,DF,Athletic Club,es La Liga,26-308,1995,5.0,290,272,18,18,0,31,7,0,0,0,0,0,217,19,54,25,234,19,0,0,240,1,5,7,3,Matches
64,Steven Alzate\ad1f61f3,co COL,MF,Brighton,eng Premier League,23-081,1998,1.0,51,51,0,0,0,9,2,2,0,0,0,0,37,5,9,3,41,6,0,0,48,0,1,1,1,Matches
65,Emmanuel Amankwaa Akurugu\69c5633e,gh GHA,DF,Getafe,es La Liga,20-008,2001,0.9,40,32,8,0,0,6,1,1,0,0,0,0,21,11,8,24,2,3,8,1,27,0,1,1,2,Matches
66,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,26-342,1994,6.7,427,421,6,4,0,46,5,0,0,0,0,0,351,31,45,37,357,22,2,2,379,1,3,10,8,Matches
67,Amath\f3b1d9a2,sn SEN,FWMF,Mallorca,es La Liga,25-135,1996,6.3,106,102,4,1,0,23,0,4,0,0,0,0,75,17,14,21,74,5,3,2,80,0,0,9,3,Matches
68,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,27-264,1994,1.4,88,71,17,2,1,10,3,2,0,0,0,0,60,19,9,53,17,0,15,0,76,0,2,6,2,Matches
69,Kelvin Amian\bcc81786,fr FRA,DF,Spezia,it Serie A,23-293,1998,7.6,354,279,75,9,0,60,6,9,0,0,0,0,223,88,43,35,239,12,66,1,284,1,7,11,11,Matches
70,Nadiem Amiri\555d5edd,de GER,MFFW,Leverkusen,de Bundesliga,25-032,1996,3.9,197,188,9,1,0,38,13,3,5,0,4,1,155,17,25,17,176,2,2,0,161,1,3,5,2,Matches
71,Ethan Ampadu\10b9fa99,wls WAL,MF,Venezia,it Serie A,21-075,2000,6.1,268,254,14,8,1,41,6,0,0,0,0,0,193,43,32,39,206,8,6,4,216,2,7,8,9,Matches
72,Sofyan Amrabat\5a2cb25d,ma MAR,MF,Fiorentina,it Serie A,25-099,1996,2.3,150,143,7,7,0,11,6,2,0,0,0,0,117,12,21,1,138,9,0,2,132,0,0,3,5,Matches
73,Joachim Andersen\e34fc66d,dk DEN,DF,Crystal Palace,eng Premier League,25-181,1996,11.4,758,736,22,19,1,52,37,3,1,0,0,1,519,67,172,69,633,34,2,5,652,1,13,16,5,Matches
74,Felipe Anderson\9f1893b9,br BRA,FW,Lazio,it Serie A,28-227,1993,12.1,590,552,38,4,1,71,15,32,13,8,2,1,449,75,66,103,455,16,9,3,463,1,7,26,15,Matches
75,Sebastian Andersson\b4cf5806,se SWE,FW,Köln,de Bundesliga,30-136,1991,6.2,103,100,3,0,0,45,1,7,0,0,0,0,49,34,20,13,61,7,1,10,78,0,1,3,5,Matches
76,Florin Andone\dc008610,ro ROU,FW,Cádiz,es La Liga,28-231,1993,1.2,24,21,3,0,0,7,0,0,0,0,0,0,8,8,8,5,7,6,0,1,16,0,3,0,1,Matches
77,Andrés Andrade Cedeño\6ea23758,pa PAN,DF,Arminia,de Bundesliga,23-043,1998,2.4,84,78,6,2,0,14,4,3,0,0,0,0,51,11,22,62,9,5,4,0,67,0,3,0,0,Matches
78,Benjamin André\ef9c1c95,fr FRA,MF,Lille,fr Ligue 1,31-117,1990,13.6,815,790,25,19,0,158,28,5,0,0,0,0,562,126,127,120,617,37,5,4,671,2,10,34,15,Matches
79,Robert Andrich\e0b113a7,de GER,MF,Leverkusen,de Bundesliga,27-067,1994,5.1,207,203,4,4,2,37,2,0,0,0,0,0,125,39,43,39,138,16,0,2,160,1,7,3,5,Matches
80,José Ángel\3024e383,es ESP,DF,Osasuna,es La Liga,32-084,1989,3.1,176,137,39,6,0,21,9,5,0,0,0,0,77,35,64,107,24,7,33,0,135,1,3,8,3,Matches
81,Angeliño\30941e96,es ESP,DF,RB Leipzig,de Bundesliga,24-328,1997,7.4,410,332,78,13,0,48,21,44,7,3,4,0,179,76,155,305,27,16,58,0,278,2,9,7,10,Matches
82,Cristian Ansaldi\bbafc0c4,ar ARG,DF,Torino,it Serie A,35-069,1986,3.8,217,177,40,2,0,23,9,18,4,1,1,0,106,42,69,59,119,4,34,0,161,2,7,4,12,Matches
83,Janis Antiste\38d9ce53,fr FRA,FWMF,Spezia,it Serie A,19-102,2002,6.0,114,104,10,0,1,20,1,4,0,0,0,0,75,20,19,21,80,9,0,0,76,2,1,5,8,Matches
84,Waldemar Anton\5e66fa06,de GER,DF,Stuttgart,de Bundesliga,25-131,1996,9.9,665,643,22,9,0,62,4,7,0,0,0,0,535,57,73,90,531,17,12,1,582,0,11,12,8,Matches
85,Josep Antoni Gayá\4a5f2032,es ESP,DF,Mallorca,es La Liga,21-144,2000,0.6,25,23,2,0,0,1,1,0,0,0,0,0,20,0,5,8,14,3,0,0,20,0,0,0,0,Matches
86,Michail Antonio\ac05f970,jm JAM,FW,West Ham,eng Premier League,31-245,1990,10.9,258,252,6,0,4,71,9,18,0,0,0,0,164,42,52,46,186,7,2,3,171,2,5,8,21,Matches
87,Christopher Antwi-Adjei\0a3f6cde,gh GHA,FWMF,Bochum,de Bundesliga,27-294,1994,4.2,110,98,12,0,0,28,2,13,0,0,0,0,65,21,24,19,71,3,12,1,73,0,2,6,7,Matches
88,Houssem Aouar\a5db0bec,fr FRA,MFFW,Lyon,fr Ligue 1,23-151,1998,11.2,495,478,17,10,1,71,7,5,2,0,1,1,409,52,34,46,436,4,2,5,438,1,3,16,10,Matches
