Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
228,Rodrigo Becão\19e4eab9,br BRA,DF,Udinese,it Serie A,23,1996,24.6,1298,219,709,603,65,18,1253,2,6,33.3,2,1,777,3731,2194,54,9,1,11,7,835,814,97.5,10,Matches
229,Sheraldo Becker\8eb55dbb,sr SUR,MFFW,Union Berlin,de Bundesliga,24,1995,6.0,172,4,36,62,87,11,171,9,13,69.2,9,1,131,946,582,26,7,8,10,3,231,124,53.7,25,Matches
230,Timo Becker\543ddcaf,de GER,DFMF,Schalke 04,de Bundesliga,22,1997,3.7,201,12,69,95,53,12,178,4,9,44.4,4,1,121,891,574,20,8,1,6,4,138,113,81.9,11,Matches
231,Jan Bednarek\4115ce4e,pl POL,DF,Southampton,eng Premier League,23,1996,34.0,1939,260,956,1002,45,17,1878,2,2,100.0,2,0,896,3834,1837,42,6,0,5,1,966,953,98.7,8,Matches
232,Asmir Begović\7b4de647,ba BIH,GK,Milan,it Serie A,32,1987,1.4,39,35,38,1,0,0,22,0,0,,0,0,16,55,36,0,0,0,0,0,16,16,100.0,0,Matches
233,Valon Behrami\d3d758d8,ch SUI,MF,Genoa,it Serie A,34,1985,12.3,568,29,135,387,79,2,557,7,7,100.0,7,2,338,1610,670,24,10,0,8,13,367,345,94.0,7,Matches
234,Maximilian Beier\5db45ee5,de GER,FWMF,Hoffenheim,de Bundesliga,16,2002,1.2,48,2,4,24,26,10,44,1,5,20.0,1,0,33,219,160,8,3,3,8,3,63,33,52.4,22,Matches
235,Gaëtan Belaud\3f1a7191,fr FRA,DF,Brest,fr Ligue 1,32,1986,6.4,437,24,139,226,91,2,367,3,7,42.9,5,0,235,933,513,22,6,0,4,1,269,252,93.7,7,Matches
236,Ishak Belfodil\ff182fdc,dz ALG,FWMF,Hoffenheim,de Bundesliga,27,1992,3.0,94,2,6,34,56,23,91,10,14,71.4,10,0,69,248,134,7,0,6,5,6,163,79,48.5,35,Matches
237,Haris Belkebla\2b1bed19,dz ALG,MF,Brest,fr Ligue 1,25,1994,20.2,1075,54,315,681,156,9,1060,22,30,73.3,23,0,777,4097,1864,76,18,1,19,21,775,709,91.5,47,Matches
238,Raoul Bellanova\e3756e72,it ITA,DF,Bordeaux,fr Ligue 1,19,2000,0.7,36,2,20,11,8,0,28,0,0,,0,0,23,80,37,2,0,0,1,2,27,22,81.5,3,Matches
239,Raoul Bellanova\e3756e72,it ITA,DF,Atalanta,it Serie A,19,2000,0.2,15,0,2,5,8,1,14,0,0,,0,0,13,44,15,0,0,0,0,0,14,14,100.0,1,Matches
240,Karim Bellarabi\bee0bab1,de GER,FWDF,Leverkusen,de Bundesliga,29,1990,15.8,933,9,94,404,537,95,884,50,87,57.5,53,5,763,4487,3070,176,51,38,27,41,881,713,80.9,142,Matches
241,Jean-Ricner Bellegarde\10f0fdd3,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,16.6,920,21,184,574,251,25,896,32,50,64.0,35,0,679,3659,1798,80,23,4,34,36,717,619,86.3,71,Matches
242,Héctor Bellerín\f874dd44,es ESP,DF,Arsenal,eng Premier League,24,1995,12.9,837,34,254,430,212,28,710,16,35,45.7,21,2,489,2478,1550,70,24,5,11,16,548,500,91.2,42,Matches
243,Andrea Belotti\d705ba44,it ITA,FW,Torino,it Serie A,25,1993,33.4,1234,22,86,601,668,215,1173,41,78,52.6,43,2,829,5090,3575,178,67,52,86,80,1513,906,59.9,304,Matches
244,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,es La Liga,20,1999,20.3,1047,36,238,668,214,14,1016,17,26,65.4,18,1,775,3836,1507,68,25,1,22,28,857,751,87.6,45,Matches
