Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
147,André Ayew\5dbefa9d,gh GHA,FWMF,Swansea City,eng Premier League,27,1989,10.6,246,306,80.4,3469,576,150,174,86.2,68,82,82.9,13,23,56.5,2,1.5,+0.5,12,12,7,0,16,Matches
148,Jordan Ayew\da052c14,gh GHA,FWMF,Swansea City,eng Premier League,25,1991,31.7,695,880,79.0,9766,1386,433,491,88.2,195,248,78.6,41,75,54.7,2,0.8,+1.2,11,35,24,2,43,Matches
149,Karim Azamoum\eaf71a5e,fr FRA,MF,Troyes,fr Ligue 1,27,1990,25.3,664,953,69.7,11079,3333,318,405,78.5,237,318,74.5,75,151,49.7,0,2.0,-2.0,24,60,10,4,69,Matches
150,César Azpilicueta\53cad200,es ESP,DF,Chelsea,eng Premier League,27,1989,37.0,2464,2898,85.0,47755,17455,919,1016,90.5,1198,1326,90.3,311,492,63.2,6,3.0,+3.0,28,214,38,5,243,Matches
151,Ludovic Baal\d3ce9f1f,gf GUF,DF,Rennes,fr Ligue 1,31,1986,12.9,625,820,76.2,11127,5941,270,313,86.3,290,353,82.2,58,134,43.3,1,0.6,+0.4,7,77,8,2,91,Matches
152,Khouma Babacar\422ec08a,sn SEN,FWMF,Fiorentina,it Serie A,24,1993,5.0,76,101,75.2,1227,222,41,51,80.4,23,30,76.7,9,13,69.2,1,0.4,+0.6,7,6,3,0,8,Matches
153,Khouma Babacar\422ec08a,sn SEN,FW,Sassuolo,it Serie A,24,1993,8.3,114,140,81.4,1892,251,64,77,83.1,39,48,81.3,10,12,83.3,1,1.0,0.0,5,6,1,0,9,Matches
154,Carlos Bacca\09a9e921,co COL,FW,Villarreal,es La Liga,30,1986,27.7,380,528,72.0,5936,1197,221,288,76.7,125,177,70.6,28,48,58.3,6,4.7,+1.3,30,19,16,4,32,Matches
155,Milan Badelj\e8c930bb,hr CRO,MF,Fiorentina,it Serie A,28,1989,26.1,1470,1773,82.9,29350,8610,529,627,84.4,698,786,88.8,224,319,70.2,1,2.4,-1.4,44,170,38,7,198,Matches
156,Holger Badstuber\45b7edae,de GER,DFMF,Stuttgart,de Bundesliga,28,1989,24.1,915,1081,84.6,20267,6130,261,295,88.5,446,495,90.1,200,278,71.9,0,0.0,0.0,0,39,1,0,39,Matches
157,Dylan Bahamboula\7844c810,cg CGO,MFFW,Dijon,fr Ligue 1,22,1995,0.3,10,14,71.4,146,39,7,8,87.5,2,5,40.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,Matches
158,Farès Bahlouli\776972d5,fr FRA,MFFW,Lille,fr Ligue 1,22,1995,3.4,103,156,66.0,2058,714,44,55,80.0,35,52,67.3,21,41,51.2,0,0.9,-0.9,10,11,5,3,9,Matches
159,Stéphane Bahoken\5046b7d4,cm CMR,FW,Strasbourg,fr Ligue 1,25,1992,18.5,222,328,67.7,3398,759,119,146,81.5,70,98,71.4,20,38,52.6,1,1.3,-0.3,13,7,18,7,22,Matches
160,Daniel Baier\f261abcb,de GER,MF,Augsburg,de Bundesliga,33,1984,28.2,1196,1607,74.4,25699,8015,382,468,81.6,560,708,79.1,238,386,61.7,2,2.0,0.0,26,165,26,5,192,Matches
161,Leon Bailey\3a233281,jm JAM,FWDF,Leverkusen,de Bundesliga,19,1997,24.6,755,1082,69.8,14702,4627,356,428,83.2,256,349,73.4,132,255,51.8,6,5.8,+0.2,58,58,47,23,85,Matches
162,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,eng Premier League,23,1994,11.1,371,414,89.6,7598,2149,115,123,93.5,193,203,95.1,59,83,71.1,0,0.3,-0.3,2,12,2,0,19,Matches
163,Leighton Baines\b18095b6,eng ENG,DF,Everton,eng Premier League,32,1984,21.2,788,1016,77.6,14523,6595,345,379,91.0,332,401,82.8,98,195,50.3,3,1.9,+1.1,26,66,23,11,100,Matches
164,Riad Bajić\49d399d5,ba BIH,FWMF,Udinese,it Serie A,23,1994,0.9,16,22,72.7,256,93,9,13,69.2,6,6,100.0,1,1,100.0,0,0.2,-0.2,2,2,1,0,3,Matches
165,Marvin Bakalorz\04c11885,de GER,MF,Hannover 96,de Bundesliga,27,1989,22.8,440,619,71.1,7408,2159,232,274,84.7,149,216,69.0,49,105,46.7,1,1.8,-0.8,12,43,11,2,54,Matches
166,Cédric Bakambu\0af4dcf0,cd COD,FW,Villarreal,es La Liga,26,1991,14.0,200,281,71.2,3000,579,119,149,79.9,63,92,68.5,12,23,52.2,0,1.2,-1.2,12,13,5,0,21,Matches
167,Tiemoué Bakayoko\59bf127b,fr FRA,MF,Chelsea,eng Premier League,22,1994,23.6,948,1107,85.6,16196,3768,451,504,89.5,388,446,87.0,86,114,75.4,2,0.6,+1.4,13,86,8,1,82,Matches
168,Zakaria Bakkali\ec3efd7f,be BEL,FWMF,La Coruña,es La Liga,21,1996,10.1,228,316,72.2,3540,842,127,158,80.4,82,110,74.5,17,41,41.5,0,0.6,-0.6,8,15,2,1,22,Matches
169,Ridle Baku\442b56fa,de GER,MF,Mainz 05,de Bundesliga,19,1998,2.6,75,91,82.4,1135,278,39,44,88.6,32,39,82.1,3,6,50.0,0,0.2,-0.2,1,1,0,0,4,Matches
170,Keita Baldé\509a4ccb,sn SEN,FWMF,Monaco,fr Ligue 1,22,1995,16.3,269,392,68.6,4021,794,152,198,76.8,97,135,71.9,12,25,48.0,5,1.8,+3.2,15,9,11,5,24,Matches
171,Sam Baldock\9d597f08,eng ENG,MF,Brighton,eng Premier League,28,1989,0.4,4,7,57.1,41,11,4,5,80.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
172,Gareth Bale\a58bb1e1,wls WAL,FWMF,Real Madrid,es La Liga,28,1989,20.0,604,770,78.4,10110,2562,336,402,83.6,192,236,81.4,63,105,60.0,2,4.9,-2.9,38,30,48,16,76,Matches
