Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
116,Pepe Reina\e358587b,es ESP,GK,Lazio,it Serie A,39-089,1982,13,13,1170,13.0,21,1.62,44,26,61.4,6,3,4,2,15.4,5,4,0,1,0.0,Matches
117,Álex Remiro\374ee424,es ESP,GK,Real Sociedad,es La Liga,26-249,1995,12,12,1080,12.0,8,0.67,31,23,77.4,6,5,1,8,66.7,1,1,0,0,0.0,Matches
118,Sergio Rico\5f0241b2,es ESP,GK,Paris S-G,fr Ligue 1,28-088,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches
119,Manuel Riemann\9f941969,de GER,GK,Bochum,de Bundesliga,33-080,1988,13,13,1170,13.0,20,1.54,73,53,72.6,5,1,7,5,38.5,2,0,2,0,100.0,Matches
120,Sergio Romero\1e26e376,ar ARG,GK,Venezia,it Serie A,34-279,1987,7,7,630,7.0,9,1.29,45,38,82.2,3,1,3,3,42.9,1,1,0,0,0.0,Matches
121,Gerónimo Rulli\625c144a,ar ARG,GK,Villarreal,es La Liga,29-192,1992,12,12,1080,12.0,12,1.00,30,21,70.0,2,6,4,6,50.0,4,3,1,0,25.0,Matches
122,Mathew Ryan\4535e4bb,au AUS,GK,Real Sociedad,es La Liga,29-234,1992,2,2,180,2.0,2,1.00,7,6,85.7,2,0,0,1,50.0,1,1,0,0,0.0,Matches
123,José Sá\903b6e8b,pt POR,GK,Wolves,eng Premier League,28-315,1993,13,13,1170,13.0,12,0.92,50,41,82.0,6,2,5,4,30.8,3,3,0,0,0.0,Matches
124,Romain Salin\74733221,fr FRA,GK,Rennes,fr Ligue 1,37-122,1984,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
125,Robert Sánchez\6a713852,es ESP,GK,Brighton,eng Premier League,24-010,1997,12,12,1079,12.0,12,1.00,40,30,75.0,4,6,2,5,41.7,2,2,0,0,0.0,Matches
126,Kasper Schmeichel\53af52f3,dk DEN,GK,Leicester City,eng Premier League,35-023,1986,12,12,1080,12.0,21,1.75,59,41,67.8,4,3,5,1,8.3,2,2,0,0,0.0,Matches
127,Marvin Schwäbe\87436846,de GER,GK,Köln,de Bundesliga,26-217,1995,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Matches
128,Alexander Schwolow\0d55d942,de GER,GK,Hertha BSC,de Bundesliga,29-179,1992,13,13,1170,13.0,27,2.08,59,34,59.3,4,2,7,1,7.7,3,3,0,0,0.0,Matches
129,Matz Sels\834b5c4c,be BEL,GK,Strasbourg,fr Ligue 1,29-275,1992,14,14,1260,14.0,19,1.36,55,39,69.1,5,4,5,3,21.4,2,2,0,0,0.0,Matches
130,Rui Silva\ea83bfa6,pt POR,GK,Betis,es La Liga,27-294,1994,7,7,630,7.0,6,0.86,18,13,72.2,3,2,2,2,28.6,1,1,0,0,0.0,Matches
131,Marco Silvestri\0d422df7,it ITA,GK,Udinese,it Serie A,30-271,1991,13,13,1170,13.0,20,1.54,51,34,66.7,3,5,5,2,15.4,3,3,0,0,0.0,Matches
