Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
251,Fran Beltrán\ed5c5fa3,es ESP,MF,Celta Vigo,es La Liga,21,1999,15.5,3,19,7,36.8,1.22,0.45,0.16,0.43,21.1,0,0,0,1.4,1.4,0.07,+1.6,+1.6,Matches
252,Sami Ben Amar\c05d65d1,ma MAR,MF,Nîmes,fr Ligue 1,22,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
253,Hatem Ben Arfa\74dc806c,fr FRA,MFFW,Bordeaux,fr Ligue 1,33,1987,18.9,2,33,11,33.3,1.74,0.58,0.06,0.18,21.4,5,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
254,Salim Ben Seghir\1f6298f2,fr FRA,DF,Nice,fr Ligue 1,17,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
255,Wissam Ben Yedder\942b4f90,fr FRA,FW,Monaco,fr Ligue 1,29,1990,29.0,20,68,22,32.4,2.35,0.76,0.15,0.45,16.9,5,10,12,19.1,10.0,0.15,+0.9,0.0,Matches
256,Ahmad Benali\a128b07e,ly LBY,MF,Crotone,it Serie A,28,1992,13.5,0,11,4,36.4,0.82,0.30,0.00,0.00,18.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
257,Samy Benchamma\90c99c5c,fr FRA,MFDF,Montpellier,fr Ligue 1,20,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
258,Lars Bender\c50281a0,de GER,DF,Leverkusen,de Bundesliga,31,1989,10.4,1,9,0,0.0,0.87,0.00,0.00,,16.7,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
259,Sven Bender\070ec0b1,de GER,DF,Leverkusen,de Bundesliga,31,1989,13.0,0,3,1,33.3,0.23,0.08,0.00,0.00,11.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
260,Darío Benedetto\bef0a7ac,ar ARG,FW,Marseille,fr Ligue 1,30,1990,17.5,5,37,14,37.8,2.11,0.80,0.11,0.29,15.6,0,1,1,7.6,6.8,0.18,-2.6,-2.8,Matches
261,László Bénes\fe888e39,sk SVK,MFFW,Augsburg,de Bundesliga,22,1997,7.3,1,8,3,37.5,1.09,0.41,0.13,0.33,20.1,1,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
262,László Bénes\fe888e39,sk SVK,MF,M'Gladbach,de Bundesliga,22,1997,1.7,0,2,0,0.0,1.20,0.00,0.00,,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
263,Walter Benítez\8a2248b4,ar ARG,GK,Nice,fr Ligue 1,27,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,Loris Benito\f5b6fb78,ch SUI,DF,Bordeaux,fr Ligue 1,28,1992,29.5,0,6,1,16.7,0.20,0.03,0.00,0.00,10.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
265,Sergio Benito\608bcb88,es ESP,FW,Valladolid,es La Liga,21,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
266,Bilal Benkhedim\b6047994,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2001,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
