Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
21,Lucien Agoume\8bc8829a,fr FRA,MF,Brest,fr Ligue 1,19-292,2002,6.0,1,0,0,10,4,0,0,13,9,0,0,0,51,4,9,30.8,Matches
22,Kevin Agudelo\46fa7204,co COL,FW,Spezia,it Serie A,23-014,1998,0.3,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,100.0,Matches
23,Nayef Aguerd\288e1e13,ma MAR,DF,Rennes,fr Ligue 1,25-243,1996,14.0,1,0,0,7,4,1,1,22,4,0,1,0,99,52,20,72.2,Matches
24,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,es La Liga,33-179,1988,1.7,0,0,0,1,2,1,4,0,1,0,0,0,3,4,2,66.7,Matches
25,Ruben Aguilar\3dd738a1,fr FRA,DF,Monaco,fr Ligue 1,28-216,1993,10.0,1,0,0,14,11,1,21,27,25,0,0,1,91,15,13,53.6,Matches
26,Jean-Eudes Aholou\48b28bfd,ci CIV,MF,Strasbourg,fr Ligue 1,27-253,1994,4.4,0,0,0,11,6,0,1,11,4,0,0,0,40,4,2,66.7,Matches
27,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,es La Liga,26-060,1995,6.6,1,0,0,2,6,0,0,12,9,0,0,0,62,25,15,62.5,Matches
28,Ola Aina\246d153b,ng NGA,DF,Torino,it Serie A,25-051,1996,8.8,3,0,0,13,17,0,21,21,9,0,0,0,74,8,9,47.1,Matches
29,Rayan Aït Nouri\9b398aea,fr FRA,DF,Wolves,eng Premier League,20-175,2001,5.0,1,0,0,5,6,0,15,9,12,0,0,0,36,4,4,50.0,Matches
30,Kristoffer Ajer\a8c0acb7,no NOR,DF,Brentford,eng Premier League,23-225,1998,6.3,1,0,0,5,10,0,3,13,5,0,0,0,55,21,9,70.0,Matches
31,Ludovic Ajorque\462475ed,re REU,FW,Strasbourg,fr Ligue 1,27-276,1994,11.3,2,1,0,15,16,4,8,7,9,0,0,1,49,53,40,57.0,Matches
32,Manuel Akanji\89ac64a6,ch SUI,DF,Dortmund,de Bundesliga,26-132,1995,13.0,2,0,0,10,13,0,1,18,22,0,0,0,114,33,24,57.9,Matches
33,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,es La Liga,28-261,1993,4.6,2,0,0,8,5,0,6,10,6,0,1,0,36,10,9,52.6,Matches
34,Nathan Aké\eaeca114,nl NED,DF,Manchester City,eng Premier League,26-283,1995,3.2,0,0,0,4,1,0,0,4,2,0,0,0,21,14,0,100.0,Matches
35,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,es La Liga,17-226,2004,0.5,0,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0.0,Matches
36,Maghnes Akliouche\b625b241,fr FRA,MF,Monaco,fr Ligue 1,19-276,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
37,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,es La Liga,23-343,1997,1.9,1,0,0,8,0,0,0,2,4,0,0,0,16,5,1,83.3,Matches
38,Jean-Daniel Akpa-Akpro\fdf4b948,ci CIV,MF,Lazio,it Serie A,29-048,1992,2.6,1,0,0,12,9,0,0,1,3,0,1,0,15,6,6,50.0,Matches
39,Kevin Akpoguma\6ec6fde0,ng NGA,DF,Hoffenheim,de Bundesliga,26-223,1995,8.1,1,0,0,16,12,2,15,13,8,0,0,0,65,16,12,57.1,Matches
40,David Alaba\05439de2,at AUT,DF,Real Madrid,es La Liga,29-157,1992,11.9,0,0,0,7,7,2,23,23,10,0,0,0,68,8,7,53.3,Matches
