Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
72,Romain Amalfitano\d7bf3d19,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30.0,57,1.90,44,3,1,1,4,4,5,0.17,4,1,0,0,0,0,Matches
73,Daniel Amartey\1a4ef233,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Jordi Amat\d70a2141,es ESP,DFMF,Betis,es La Liga,25,1992,22.7,17,0.75,15,0,1,1,0,0,1,0.04,1,0,0,0,0,0,Matches
75,Amath\f3b1d9a2,sn SEN,MFFW,Getafe,es La Liga,21,1996,31.8,55,1.73,34,0,9,3,8,1,4,0.13,2,0,1,1,0,0,Matches
76,Jordan Amavi\22721b88,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,46,1.89,32,1,5,5,2,1,9,0.37,7,1,0,1,0,0,Matches
77,Stephan Ambrosius\2930c9d8,de GER,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,Kelvin Amian\bcc81786,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35.0,27,0.77,20,5,2,0,0,0,3,0.09,2,0,1,0,0,0,Matches
79,Nadiem Amiri\555d5edd,de GER,MFFW,Hoffenheim,de Bundesliga,20,1996,19.4,66,3.42,45,7,6,6,2,0,5,0.26,5,0,0,0,0,0,Matches
80,Ethan Ampadu\10b9fa99,wls WAL,DF,Chelsea,eng Premier League,16,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81,Nordin Amrabat\7c2a398c,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,4,1.82,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
82,Nordin Amrabat\7c2a398c,ma MAR,FWMF,Leganés,es La Liga,30,1987,18.0,52,2.88,34,1,9,3,5,0,8,0.44,5,1,2,0,0,0,Matches
